S. No.,Crash Date,Crash Day,Location,State,LatLong,latitude,longitude,Road Type,Crash Type,Killed,Injured,Vehicle 1,Vehicle/Object 2,Million Plus City
800,2022-07-07,Thursday,Vanjuvancheri,Tamil Nadu,"12.851365821731331, 79.97987894626105",12.851365821731331,79.97987894626105,OR,Others,4,0,Car,Truck,Nil
801,2022-07-08,Friday,Mohanpur,Uttar Pradesh,"27.715218378559722, 78.85957137585469",27.715218378559722,78.85957137585469,OR,Hit and Run,2,2,Pedestrian,Car,Nil
802,2022-07-08,Friday,Shikaruganji,Andhra Pradesh,"18.425195503319962, 83.39531029526097",18.425195503319962,83.39531029526097,OR,Fixed Object Collision,3,0,Car,Divider,Nil
803,2022-07-08,Friday,Halol,Gujarat,"22.501220695617526, 73.48311850001448",22.501220695617526,73.48311850001448,NH,With Parked Vehicle,3,0,Two Wheeler,Truck,Nil
804,2022-07-08,Friday,Honnakatte,Karnataka,"12.969759681379283, 74.80477918965846",12.969759681379283,74.80477918965846,NH,Hit From Side,1,0,Van,Truck,Nil
805,2022-07-09,Saturday,Devda,Rajasthan,"25.209044193736254, 72.65401000879267",25.209044193736254,72.65401000879267,OR,Others,2,2,Car,Truck,Nil
806,2022-07-10,Sunday,Nagaur,Rajasthan,"27.189910951383663, 73.73178246564869",27.189910951383663,73.73178246564869,SH,Others,1,5,Car,Truck,Nil
807,2022-07-10,Sunday,Chandana,Rajasthan,"25.139913619736575, 72.70419354021021",25.139913619736575,72.70419354021021,OR,Head On Collision ,2,3,Car,Truck,Nil
808,2022-07-08,Friday,Boliya,Madhya Pradesh,"24.239274613710073, 75.80586402789265",24.239274613710073,75.80586402789265,OR,Run Off Road,2,3,Two Wheeler,Nil,Nil
809,2022-07-10,Sunday,Langolpota,West Bengal,"22.625983068705604, 88.51289893730716",22.625983068705604,88.51289893730716,SH,With Parked Vehicle,1,0,Car,Bus,Kolkata
810,2022-07-10,Sunday,Gandhi Nagar,Andhra Pradesh,"13.601237808634934, 79.36717647544104",13.601237808634934,79.36717647544104,OR,Fixed Object Collision,2,1,Car,Divider,Nil
811,2022-07-10,Sunday,Batala,Punjab,"31.823734052480386, 75.17505278764587",31.823734052480386,75.17505278764587,NH,Fixed Object Collision,3,2,Car,Divider,Nil
812,2022-07-07,Thursday,Lucknow-Sultanpur Highway,Uttar Pradesh,"26.796373817934697, 81.01197823523033",26.796373817934697,81.01197823523033,NH,With Parked Vehicle,2,2,Car,Truck,Lucknow
813,2022-07-10,Sunday,Gagalheri,Uttar Pradesh,"29.97728356993806, 77.6632346561554",29.97728356993806,77.6632346561554,NH,Head On Collision ,1,1,Two Wheeler,Tractor,Nil
814,2022-07-10,Sunday,Mavinakatte,Karnataka,"13.653963448735668, 74.7660410841964",13.653963448735668,74.7660410841964,OR,Head On Collision ,2,0,Two Wheeler,SUV,Nil
815,2022-07-10,Sunday,Bhandari Resort,Madhya Pradesh,"22.72911823192714, 75.93317337333046",22.72911823192714,75.93317337333046,NH,Others,1,1,Two Wheeler,Car,Indore
816,2022-07-09,Saturday,Guraiya,Madhya Pradesh,"24.845464468826084, 79.61269309616695",24.845464468826084,79.61269309616695,OR,Head On Collision ,2,1,Two Wheeler,Two Wheeler,Nil
817,2022-07-12,Tuesday,Badbahal,Odisha,"21.811169049664613, 84.20562287672573",21.811169049664613,84.20562287672573,NH,Others,3,3,Auto Rickshaw,SUV,Nil
818,2022-07-12,Tuesday,Gada Khorda,Odisha,"20.167745771831928, 85.62392919097132",20.167745771831928,85.62392919097132,OR,Others,1,8,Bus,Truck,Nil
819,2022-07-12,Tuesday,Greater Kailash,Delhi,"28.535099762662885, 77.23697563964855",28.535099762662885,77.23697563964855,OR,Hit and Run,1,0,Pedestrian,Car,Delhi
820,2022-07-11,Monday,Tilpata,Uttar Pradesh,"28.52940835767539, 77.52975306207016",28.52940835767539,77.52975306207016,OR,Hit From Back,1,1,Two Wheeler,Truck,Nil
821,2022-07-10,Sunday,Rabupura,Uttar Pradesh,"28.252820542985265, 77.60293721555867",28.252820542985265,77.60293721555867,OR,Run Off Road,1,0,Two Wheeler,Nil,Nil
822,2022-07-13,Wednesday,Deepak Tal,Himachal Pradesh,"32.75245602481399, 77.25571991130239",32.75245602481399,77.25571991130239,NH,Vehicle Overturn,3,3,Truck,Gorge,Nil
823,2022-07-12,Tuesday,Rabindra Bithi Bypass Rd,West Bengal,"23.65521833297628, 87.6887522434982",23.65521833297628,87.6887522434982,OR,Fixed Object Collision,1,0,Two Wheeler,Divider,Nil
824,2022-07-11,Monday,Maduranthkam,Tamil Nadu,"12.500351971025927, 79.87519711357636",12.500351971025927,79.87519711357636,NH,With Parked Vehicle,1,4,Car,Truck,Nil
825,2022-07-11,Monday,Nelamangala,Karnataka,"13.098492041784795, 77.38569255067814",13.098492041784795,77.38569255067814,NH,With Parked Vehicle,1,1,Two Wheeler,Truck,Nil
826,2022-07-14,Thursday,Trichy Road Flyover,Tamil Nadu,"10.997876858150065, 76.98582383011842",10.997876858150065,76.98582383011842,OR,Run Off Road,1,0,Two Wheeler,Nil,Coimbatore
827,2022-07-13,Wednesday,Kaudiyala,Uttarakhand,"30.074442159413845, 78.50161094097407",30.074442159413845,78.50161094097407,NH,Vehicle Overturn,4,0,Car,Gorge,Nil
828,2022-07-13,Wednesday,Nakkalla Palli,Telangana,"16.084111910361987, 77.89860863476197",16.084111910361987,77.89860863476197,NH,With Parked Vehicle,3,0,Car,Lorry,Nil
829,2022-07-13,Wednesday,Gharuan,Punjab,"30.772481864010384, 76.56449314808299",30.772481864010384,76.56449314808299,OR,Hit From Back,2,2,Two Wheeler,Car,Nil
830,2022-07-13,Wednesday,Lalru,Punjab,"30.48476329448971, 76.79816771294107",30.48476329448971,76.79816771294107,NH,Hit From Back,1,0,Bicycle,Bus,Nil
831,2022-07-15,Friday,Khairatabad,Telangana,"17.411259609565853, 78.46070920569524",17.411259609565853,78.46070920569524,OR,Fixed Object Collision,2,0,Two Wheeler,Divider,Hyderabad
832,2022-07-15,Friday,Otteri,Tamil Nadu,"13.09152616715352, 80.25110952760691",13.09152616715352,80.25110952760691,OR,Run Off Road,1,0,Auto Rickshaw,Nil,Chennai
833,2022-07-15,Friday,Kanchipuram,Tamil Nadu,"12.818966368687125, 79.69401125195076",12.818966368687125,79.69401125195076,SH,Hit and Run,2,0,Pedestrian,Truck,Nil
834,2022-07-17,Sunday,Chanakya Junction,Maharashtra,"19.02125762018209, 73.00818907330417",19.02125762018209,73.00818907330417,OR,Head On Collision ,1,0,Two Wheeler,Car,Mumbai
835,2022-07-16,Saturday,Rampur Bypass Road,Uttar Pradesh,"28.747608674500384, 79.04347155070869",28.747608674500384,79.04347155070869,OR,Head On Collision ,5,22,Bus,Truck,Nil
836,2022-07-17,Sunday,Kirimanjeshwara,Karnataka,"13.772641713352378, 74.63597248633671",13.772641713352378,74.63597248633671,NH,Fixed Object Collision,2,0,Two Wheeler,Divider,Nil
837,2022-07-16,Saturday,Patan,Chhattisgarh,"21.037069311134164, 81.54797912885542",21.037069311134164,81.54797912885542,SH,Hit From Back,2,0,Two Wheeler,Truck,Nil
838,2022-07-17,Sunday,Khandepar,Goa,"15.460091179207675, 74.0477027181453",15.460091179207675,74.0477027181453,SH,Head On Collision ,1,0,Two Wheeler,Truck,Nil
839,2022-07-16,Saturday,Punjapura,Madhya Pradesh,"22.542103844573163, 76.36552318518942",22.542103844573163,76.36552318518942,SH,Head On Collision ,3,0,Two Wheeler,Truck,Nil
840,2022-07-16,Saturday,AB Road,Madhya Pradesh,"22.64647852782518, 75.81923095698617",22.64647852782518,75.81923095698617,NH,Fixed Object Collision,1,1,Car,Pillar,Indore
841,2022-07-17,Sunday,Nimbhora,Maharashtra,"20.566339609707647, 75.34861140653604",20.566339609707647,75.34861140653604,OR,Others,6,1,Two Wheeler,SUV,Nil
842,2022-07-17,Sunday,JP Nagar,Karnataka,"12.906430409331819, 77.58193692990942",12.906430409331819,77.58193692990942,OR,Hit From Side,1,1,Two Wheeler,Two Wheeler,Bengaluru
843,2022-07-18,Monday,Parnasree Palli,West Bengal,"22.5122597969544, 88.3034103410675",22.5122597969544,88.3034103410675,OR,Fixed Object Collision,1,0,Car,Wall,Kolkata
844,2022-07-18,Monday,Narmada Bridge,Madhya Pradesh,"22.151916886063812, 75.44344933833077",22.151916886063812,75.44344933833077,NH,Vehicle Overturn,14,20,Bus,River,Nil
845,2022-07-17,Sunday,Haibowal,Punjab,"30.917978830521072, 75.88331164964507",30.917978830521072,75.88331164964507,OR,Others,1,0,Pedestrian,Car,Ludhiana
846,2022-07-18,Monday,Sar,Rajasthan,"26.04078202180639, 72.94893981731161",26.04078202180639,72.94893981731161,OR,Head On Collision ,2,0,Two Wheeler,SUV,Nil
